type,county,place,address,address_1,address_2,csz,city,zip,description
Dropbox,Clark,Ridgefield,"End of North First Circle, Ridgefield WA  98642",End of North First Circle,,Ridgefield WA 98642,Ridgefield,98642,"24 Hour Ballot Drop Box Open 18 days prior to each election (Pioneer Street exit, east of I-5 at the end of North 1st Circle, in middle of cul-de-sac)"
Dropbox,Clark,Clark College,"1933 Fort Vancouver Way, Vancouver WA  98663",1933 Fort Vancouver Way,,Vancouver WA 98663,Vancouver,98663,"24 Hour Ballot Drop Box Open  18 days prior to each election (located between Hanna Hall and Penguin Building, near flag pole)"
Dropbox,Clark,Pioneer Elementary School - Frontier Middle Schooll,"7600 NE 166th Avenue, Vancouver WA  98682",7600 NE 166th Avenue,,Vancouver WA 98682,Vancouver,98682,24 Hour Ballot Drop Box (located in parking lot between the two schools) Open  18 days prior to each election
Dropbox,Clark,Ridgefield School District Administrative Office,"510 Pioneer Street, Ridgefield WA  98642",510 Pioneer Street,,Ridgefield WA 98642,Ridgefield,98642,24 Hour Ballot Drop Box Open  18 days prior to each election (walk-up only)
Dropbox,Clark,Shahala Middle School,"601 SE 192nd Ave, Vancouver WA  98683",601 SE 192nd Ave,,Vancouver WA 98683,Vancouver,98683,24 Hour Ballot Drop Box Open 18 days prior to each election (located near flag pole)
Dropbox,Clark,Washougal Library,"1661 C Street, Washougal WA  98671",1661 C Street,,Washougal WA 98671,Washougal,98671,24 Hour Ballot Drop Box Open 18 days prior to each election (walk-up only)
Dropbox,Clark,Clark County Elections,"1408 Franklin Street, Vancouver WA  98660",1408 Franklin Street,,Vancouver WA 98660,Vancouver,98660,Elections Office ELECTION DAY ONLY 7 am to 8 pm
Dropbox,Clark,14th & Esther Streets,"W 14th & Esther Streets, Vancouver WA  98660",W 14th & Esther Streets,,Vancouver WA 98660,Vancouver,98660,24 Hour Ballot Drop Box Open 18 days prior to each election
Dropbox,Clark,Vancouver Mall,"8700 NE Vancouver Mall Dr, Vancouver WA  98662",8700 NE Vancouver Mall Dr,,Vancouver WA 98662,Vancouver,98662,24 Hour Ballot Drop Box Open 18 days prior to each election (located southeast of Macy's near the C-Tran Vine Station)
Dropbox,Clark,Fisher's Landing Transit Center,"3510 SE 164th Avenue, Vancouver WA  98683",3510 SE 164th Avenue,,Vancouver WA 98683,Vancouver,98683, 24 Hour Ballot Drop Box  Open 18 days prior to each election
Dropbox,Clark,Battle Ground City Hall,"109 SW 1st Street, Battle Ground WA  98604",109 SW 1st Street,,Battle Ground WA 98604,Battle Ground,98604,24 Hour Ballot Drop Box Open 18 days prior to each election (located in west parking lot)
Dropbox,Clark,Hazel Dell - 99th Street C-Tran Transit Center,"9700 NE 7th Avenue, Vancouver  WA  98665",9700 NE 7th Avenue,,Vancouver WA 98665,Vancouver,98665,24 Hour Ballot Drop Box Open 18 days prior to each election (located between 94th and 99th streets)
Dropbox,Clark,Camas Post Office Downtown,"440 NE 5th Avenue, Camas WA  98607",440 NE 5th Avenue,,Camas WA 98607,Camas,98607,24 Hour Ballot Drop Box Open 18 days prior to each election
Dropbox,Columbia,Courthouse Alley,"341 E. Main St., Dayton WA  99328",341 E. Main St.,,Dayton WA 99328,Dayton,99328, 
Dropbox,Columbia,Starbuck City Hall,"200 Main St., Starbuck WA  99359",200 Main St.,,Starbuck WA 99359,Starbuck,99359, 
Dropbox,Cowlitz,Ryderwood (Ballot Drop Box),"208 Morse St, Ryderwood WA  98581",208 Morse St,,Ryderwood WA 98581,Ryderwood,98581,Next to the Ryderwood Library 
Dropbox,Cowlitz,Longview Civic Center Circle (Ballot Drop Box),"1525 Broadway Street, Longview WA  98632",1525 Broadway Street,,Longview WA 98632,Longview,98632,"Across from Broadway St, near the Longview Post Office boxes "
Dropbox,Cowlitz,Broadway Street (Ballot Drop Box),"1525 Broadway Street, Longview WA  98632",1525 Broadway Street,,Longview WA 98632,Longview,98632,East of the Longview Post Office boxes 
Dropbox,Cowlitz,Kelso (Ballot Drop Box),"Bridge Market Lane, Kelso WA  98626",Bridge Market Lane,,Kelso WA 98626,Kelso,98626,"On Bridge Market Lane, between LJ's Furness Drug Co and the Allen St bridge. "
Dropbox,Cowlitz,Woodland City Parking Lot (Ballot Drop Box),"230 Davidson Avenue, Woodland WA  98674",230 Davidson Avenue,,Woodland WA 98674,Woodland,98674,Near the City's utility payment drop box 
Dropbox,Cowlitz,Castle Rock (Ballot Drop Box),"137 Cowlitz St West, Castle Rock WA  98611",137 Cowlitz St West,,Castle Rock WA 98611,Castle Rock,98611,In front of the Castle Rock Library 
Dropbox,Cowlitz,Kalama (Ballot Drop Box),"454 N 1st Street, Kalama WA  98625",454 N 1st Street,,Kalama WA 98625,Kalama,98625,Near the Kalama Post Office boxes 
Dropbox,Douglas,Douglas County Courthouse Drop Box,"213 S Rainier St, Waterville WA  98858",213 S Rainier St,,Waterville WA 98858,Waterville,98858, 
Dropbox,Douglas,Mansfield City Hall Drop Box,"26 Main, Mansfield WA  98830",26 Main,,Mansfield WA 98830,Mansfield,98830, 
Dropbox,Douglas,Bridgeport City Hall Drop Box,"1206 Columbia Ave, Bridgeport WA  98813",1206 Columbia Ave,,Bridgeport WA 98813,Bridgeport,98813, 
Dropbox,Douglas,Rock Island City Hall Drop Box,"5 N Garden, Rock Island WA  98850",5 N Garden,,Rock Island WA 98850,Rock Island,98850, 
Dropbox,Douglas,East Wenatchee Drop Box,"110 2nd St NE, East Wenatchee WA  98802",110 2nd St NE,,East Wenatchee WA 98802,East Wenatchee,98802,
Dropbox,Douglas,Douglas County Public Service Bldg Drop Box,"140 19th Street NW, East Wenatchee WA  98802",140 19th Street NW,,East Wenatchee WA 98802,East Wenatchee,98802, 
Dropbox,Douglas,Coulee Dam Town Hall,"300 Lincoln Ave., Coulee Dam WA  98116",300 Lincoln Ave.,,Coulee Dam WA 98116,Coulee Dam,98116, 
Dropbox,Douglas,East Wenatchee City Hall,"271 9th St. NE, East Wenatchee WA  98802",271 9th St. NE,,East Wenatchee WA 98802,East Wenatchee,98802, 
Dropbox,Ferry,Danville Drop Box - Danville Outpost,"19097 N HWY 21, Danville WA  99121",19097 N HWY 21,,Danville WA 99121,Danville,99121, 
Dropbox,Ferry,Curlew Drop Box - Curlew Fire Station,"30 Customs Rd, Curlew WA  99118",30 Customs Rd,,Curlew WA 99118,Curlew,99118, 
Dropbox,Ferry,Keller Drop Box - Sanpoil Community Health,"11665 S HWY 21, Keller WA  99140",11665 S HWY 21,,Keller WA 99140,Keller,99140, 
Dropbox,Ferry,Inchelium  Drop Box ,"Lake Roosevelt Community Health Center, Inchelium WA  99138",Lake Roosevelt Community Health Center,,Inchelium WA 99138,Inchelium,99138, 
Dropbox,Ferry,Republic City Hall,"987 S. Clark Ave, Republic  WA  99166 ",987 S. Clark Ave,,Republic WA 99166,Republic,99166,Phone number is (509)775-3216.  Box is available until 8 p.m. on Election Day. 
Dropbox,Franklin,Franklin County Annex - Elections Center,"116 N 3rd Ave, Pasco WA  99301",116 N 3rd Ave,,Pasco WA 99301,Pasco,99301,Ballot Drop Box is located on the corner of 3rd and Clark.  *Voter Registration and ballot issuance services not provided at this location. Location hours vary. Please call (509) 545-3538 for more information. 
Dropbox,Franklin,The HAPO Center (TRAC),"6600 Burden Blvd, Pasco WA  99301",6600 Burden Blvd,,Pasco WA 99301,Pasco,99301,
Dropbox,Franklin,Franklin County Courthouse Drop Box,"1016 N. 4th Avenue, Pasco WA  99301",1016 N. 4th Avenue,,Pasco WA 99301,Pasco,99301,The box is located near the Security Building entrance outside of the courthouse.
Dropbox,Franklin,Fire District No 3,"2108 Road 84, Pasco WA  99301",2108 Road 84,,Pasco WA 99301,Pasco,99301,
Dropbox,Franklin,Franklin County Auditor's Office,"1016 N 4th Ave., Pasco WA  99301",1016 N 4th Ave.,,Pasco WA 99301,Pasco,99301,"Visit for voter registration services, replacement ballot requests, and for general elections information. "
Dropbox,Franklin,Connell PUD Shop,"619 W Clark St., Connell WA  99326",619 W Clark St.,,Connell WA 99326,Connell,99326,
Dropbox,Garfield,Garfield County Auditor's Office Drop Box,"789 Main Street, Pomeroy WA  99347",789 Main Street,,Pomeroy WA 99347,Pomeroy,99347,
Dropbox,Grant,Grand Coulee,"555 Grand Coulee Ave, Grand Coulee WA  99133",555 Grand Coulee Ave,,Grand Coulee WA 99133,Grand Coulee,99133,Outside Grant County PUD office 
Dropbox,Grant,Moses Lake City Hall,"321 Balsam St, Moses Lake WA  98837",321 Balsam St,,Moses Lake WA 98837,Moses Lake,98837,Behind Moses Lake Civic Center Annex.  Just before the city payment drop box.
Dropbox,Grant,Royal City,"101 NE Camela St, Royal City WA  99357",101 NE Camela St,,Royal City WA 99357,Royal City,99357,Next door to Confluence Health 
Dropbox,Grant,Quincy Public Library,"208 Central Ave S, Quincy WA  98848",208 Central Ave S,,Quincy WA 98848,Quincy,98848,
Dropbox,Grant,Grant County Courthouse,"1st & C St NW, Ephrata WA  98823",1st & C St NW,,Ephrata WA 98823,Ephrata,98823,"Grant County Courthouse, Public Parking Lot #A "
Dropbox,Grant,Coulee City City Hall,"501 W Main St, Coulee City WA  99115",501 W Main St,,Coulee City WA 99115,Coulee City,99115,Across the street at the flag poles 
Dropbox,Grant,Mattawa Hospital,"210 Government Rd, Mattawa WA  99349",210 Government Rd,,Mattawa WA 99349,Mattawa,99349,
Dropbox,Grant,George City Hall,"102 E Richmond Ave, George WA  98824",102 E Richmond Ave,,George WA 98824,George,98824,
Dropbox,Grant,Soap Lake  City Hall,"239 SE 2nd Ave, Soap Lake WA  98851",239 SE 2nd Ave,,Soap Lake WA 98851,Soap Lake,98851,
Dropbox,Grant,Warden Community Center,"115 N Oak St, Warden WA  98857",115 N Oak St,,Warden WA 98857,Warden,98857,
Dropbox,Grays Harbor,Elma City Hall,"202 W Main St, Elma WA  98541",202 W Main St,,Elma WA 98541,Elma,98541,Alley between City Hall & Fire Station
Dropbox,Grays Harbor,Westport City Administration,"604 N Montesano St, Westport WA  98595",604 N Montesano St,,Westport WA 98595,Westport,98595, 
Dropbox,Grays Harbor,Oakville City Hall,"204 E Main St, Oakville WA  98568",204 E Main St,,Oakville WA 98568,Oakville,98568,
Dropbox,Grays Harbor,Ocean Shores Convention Center,"120 W Chance a la Mer, Ocean Shores WA  98569",120 W Chance a la Mer,,Ocean Shores WA 98569,Ocean Shores,98569, In the parking lot of the Ocean Shores Convention Center
Dropbox,Grays Harbor,Aberdeen Tesla Parking Lot,"Wishkah and F St, Aberdeen WA  98520",Wishkah and F St,,Aberdeen WA 98520,Aberdeen,98520,New Box in the Tesla Parking Lot 
Dropbox,Grays Harbor,Cosmopolis City Hall,"1300 1st St, Cosmopolis WA  98537",1300 1st St,,Cosmopolis WA 98537,Cosmopolis,98537,
Dropbox,Grays Harbor,Hoquiam,"YMCA, Hoquiam WA  98550",YMCA,,Hoquiam WA 98550,Hoquiam,98550,
Dropbox,Grays Harbor,Oakville Area,"Methodist Church, Oakville WA  98568",Methodist Church,,Oakville WA 98568,Oakville,98568,Open election day only. 
Dropbox,Grays Harbor,South Beach Area,"Council Chambers, Westport WA  98595",Council Chambers,,Westport WA 98595,Westport,98595,Open election day only 
Dropbox,Grays Harbor,McCleary Area,"123 3rd St, McCleary WA  98557",123 3rd St,,McCleary WA 98557,McCleary,98557,New Drop Box!  Across from the Shell Station in the median. 
Dropbox,Grays Harbor,Grays Harbor County Auditor's Office Drop Box,"100 W Broadway, Montesano WA  98563",100 W Broadway,,Montesano WA 98563,Montesano,98563,At the corner of 1st St N and Broadway.
Dropbox,Island,Ken's Korner Red Apple Grocery,"4141 SR 525, Clinton WA  98236",4141 SR 525,,Clinton WA 98236,Clinton,98236,
Dropbox,Island,Oak Harbor City Hall,"865 SE Barrington Dr., Oak Harbor WA  98277",865 SE Barrington Dr.,,Oak Harbor WA 98277,Oak Harbor,98277,
Dropbox,Island,Island County Auditor's,"400 N. Main Street, Coupeville WA  98239",400 N. Main Street,,Coupeville WA 98239,Coupeville,98239,
Dropbox,Island,Island County Auditor's Office,"400 North Main Street, Coupeville WA  98239",400 North Main Street,,Coupeville WA 98239,Coupeville,98239,  
Dropbox,Island,Trinity Lutheran Church,"State Hwy 525 & Woodard Rd., Freeland WA  98249",State Hwy 525 & Woodard Rd.,,Freeland WA 98249,Freeland,98249,
Dropbox,Island,Camano Island Annex,"121 N. East Camano Drive, Camano Island WA  98282",121 N. East Camano Drive,,Camano Island WA 98282,Camano Island,98282,
Dropbox,Island,Langley Post Office,"112 5th Street, Langley WA  98260",112 5th Street,,Langley WA 98260,Langley,98260,
Dropbox,Jefferson,Brinnon Community Center,"306144 Hwy 101, Brinnon WA  98320",306144 Hwy 101,,Brinnon WA 98320,Brinnon,98320,The ballot drop box is located in the parking lot of the Brinnon Community Center.  
Dropbox,Jefferson,Quilcene Community Center,"294952 Hwy 101, Quilcene WA  98376",294952 Hwy 101,,Quilcene WA 98376,Quilcene,98376,The ballot drop box is located in the parking lot of the Quilcene Community Center.
Dropbox,Jefferson,"Nordland, East Jefferson Fire & Rescue Station 12","6633 Flagler Rd, Nordland WA  98358",6633 Flagler Rd,,Nordland WA 98358,Nordland,98358,The ballot drop box is located in the parking lot of the East Jefferson Fire & Rescue Station 12 in  
Dropbox,Jefferson,Olympic Peninsula Gateway Visitor Center,"93 Beaver Valley Rd., Port Ludlow WA  98365",93 Beaver Valley Rd.,,Port Ludlow WA 98365,Port Ludlow,98365,"The ballot drop is accessible by vehicle, has 24 hour access."
Dropbox,Jefferson,Jefferson County Courthouse - Walk-up,"1820 Jefferson St, Port Townsend WA  98368",1820 Jefferson St,,Port Townsend WA 98368,Port Townsend,98368,"This drop box is accessible by walk up only, has 24 hour access. "
Dropbox,Jefferson,Hoh Indian Nation,"2261 Lower Hoh Rd., Forks WA  98331",2261 Lower Hoh Rd.,,Forks WA 98331,Forks,98331,This drop box is located outside at the front entrance to the Tribal Police Center. 
Dropbox,Jefferson,Quinault Indian Nation (Queets),"Queets Ave., Forks WA  98331",Queets Ave.,,Forks WA 98331,Forks,98331,This box is located in front of the Queets Tribal Office. 
Dropbox,Jefferson,Jefferson County Auditor,"1820 Jefferson St, Port Townsend WA  98368",1820 Jefferson St,,Port Townsend WA 98368,Port Townsend,98368,Election Day hours are 8:30 a.m. to 8:00 p.m. Jefferson & Cass Streets. Auditor's Office is located on the first floor of the County Courthouse. The drop box is located in the hallway just outside the Auditor's Office.
Dropbox,Jefferson,Jefferson County Library,"620 Cedar Ave, Port Hadlock WA  98339",620 Cedar Ave,,Port Hadlock WA 98339,Port Hadlock,98339,"Located in the parking lot of the Jefferson County Library. The ballot drop box is emptied by two staff members three times a week.  On election day, the drop box is locked down at 8:00 p.m. and emptied the following morning. "
Dropbox,Jefferson,Jefferson County Courthouse - Back Parking Lot,"1820 Jefferson St, Port Townsend WA  98368",1820 Jefferson St,,Port Townsend WA 98368,Port Townsend,98368,"This drop box is accessible by vehicle, has 24 hour access.  It is emptied every morning by two staff from the Auditor's Office.  Ballot drop box is locked down at 8:00 p.m. election night and emptied at 8:00 a.m. the following day. "
Dropbox,King,Sammamish City Hall,"801 228th Ave SE, Sammamish WA  98075",801 228th Ave SE,,Sammamish WA 98075,Sammamish,98075,
Dropbox,King,Valley View Library,"17850 Military Rd S, SeaTac WA  98188",17850 Military Rd S,,SeaTac WA 98188,SeaTac,98188,
Dropbox,King,Rainier Community Center,"4600 38th Ave S, Seattle WA  98118",4600 38th Ave S,,Seattle WA 98118,Seattle,98118,
Dropbox,King,Shoreline Library,"345 NE 175th St, Shoreline WA  98155",345 NE 175th St,,Shoreline WA 98155,Shoreline,98155,
Dropbox,King,White Center Library,"1409 SW 107th St, Seattle WA  98146",1409 SW 107th St,,Seattle WA 98146,Seattle,98146,
Dropbox,King,Woodinville Library,"17105 Avondale Rd NE, Woodinville WA  98072",17105 Avondale Rd NE,,Woodinville WA 98072,Woodinville,98072,
Dropbox,King,Crossroads Shopping Center (south entrance),"15600 NE 8th St, Bellevue WA  98008",15600 NE 8th St,,Bellevue WA 98008,Bellevue,98008,
Dropbox,King,Burien Town Square Park (corner of 5th Ave SW and SW 152nd St),"480 SW 152nd St, Burien WA  98166",480 SW 152nd St,,Burien WA 98166,Burien,98166,
Dropbox,King,Federal Way City Hall,"33325 8th Ave S, Federal Way WA  98003",33325 8th Ave S,,Federal Way WA 98003,Federal Way,98003,
Dropbox,King,Issaquah City Hall,"130 E Sunset Way, Issaquah WA  98027",130 E Sunset Way,,Issaquah WA 98027,Issaquah,98027,
Dropbox,King,Lake Forest Park City Hall,"17425 Ballinger Way NE, Lake Forest Park WA  98155",17425 Ballinger Way NE,,Lake Forest Park WA 98155,Lake Forest Park,98155,
Dropbox,King,Regional Justice Center (near parking garage entrance),"401 4th Ave N, Kent WA  98032",401 4th Ave N,,Kent WA 98032,Kent,98032,
Dropbox,King,Tahoma School District Building,"25720 Maple Valley-Black Diamond Rd SE, Maple Valley WA  98038",25720 Maple Valley-Black Diamond Rd SE,,Maple Valley WA 98038,Maple Valley,98038,
Dropbox,King,Redmond City Hall,"15670 NE 85th St, Redmond WA  98052",15670 NE 85th St,,Redmond WA 98052,Redmond,98052,
Dropbox,King,King County Elections,"919 SW Grady Way, Renton WA  98057",919 SW Grady Way,,Renton WA 98057,Renton,98057,
Dropbox,King,Ballard Branch Library,"Corner of NW 57th St and 22nd Ave NW, Seattle WA  98107",Corner of NW 57th St and 22nd Ave NW,,Seattle WA 98107,Seattle,98107,
Dropbox,King,King County Administration Building,"500 4th Ave, Seattle WA  98104",500 4th Ave,,Seattle WA 98104,Seattle,98104,
Dropbox,King,Kirkland City Hall,"123 5th Ave, Kirkland WA  98033",123 5th Ave,,Kirkland WA 98033,Kirkland,98033,
Dropbox,King,"University of Washington Campus,  Schmitz Hall (by north entrance on NE 41st St)","1410 NE Campus Parkway, Seattle WA  98195",1410 NE Campus Parkway,,Seattle WA 98195,Seattle,98195,
Dropbox,King,High Point Library,"3411 SW Raymond St, Seattle WA  98126",3411 SW Raymond St,,Seattle WA 98126,Seattle,98126,
Dropbox,King,Fall City Library,"33415 SE 42nd Pl, Fall City WA  98024",33415 SE 42nd Pl,,Fall City WA 98024,Fall City,98024,
Dropbox,King,Kenmore City Hall,"18120 68th Ave NE, Kenmore WA  98028",18120 68th Ave NE,,Kenmore WA 98028,Kenmore,98028,
Dropbox,King,Hobart Food Market,"20250 276th Ave SE, Maple Valley WA  98038",20250 276th Ave SE,,Maple Valley WA 98038,Maple Valley,98038,
Dropbox,King,Mercer Island Community & Event Center,"8236 SE 24th St, Mercer Island WA  98040",8236 SE 24th St,,Mercer Island WA 98040,Mercer Island,98040,
Dropbox,King,Newcastle City Hall,"12835 Newcastle Way, Newcastle WA  98056",12835 Newcastle Way,,Newcastle WA 98056,Newcastle,98056,
Dropbox,King,Boulevard Park Library,"12015 Roseberg Ave S, Seattle WA  98168",12015 Roseberg Ave S,,Seattle WA 98168,Seattle,98168,
Dropbox,King,Garfield Community Center,"2323 E Cherry St, Seattle WA  98122",2323 E Cherry St,,Seattle WA 98122,Seattle,98122,
Dropbox,King,Magnolia Park,"1461 Magnolia Blvd W, Seattle WA  98199",1461 Magnolia Blvd W,,Seattle WA 98199,Seattle,98199,
Dropbox,King,Rainier Beach Community Center,"8825 Rainier Ave S, Seattle WA  98118",8825 Rainier Ave S,,Seattle WA 98118,Seattle,98118,
Dropbox,King,Tukwila Community Center,"12424 42nd Ave S, Tukwila WA  98168",12424 42nd Ave S,,Tukwila WA 98168,Tukwila,98168,
Dropbox,King,Enumclaw Library,"1700 1st St, Enumclaw WA  98022",1700 1st St,,Enumclaw WA 98022,Enumclaw,98022,
Dropbox,King,Vashon Library,"17210 Vashon Highway SW, Vashon Island WA  98070",17210 Vashon Highway SW,,Vashon Island WA 98070,Vashon Island,98070,
Dropbox,King,Muckleshoot Tribe - Philip Starr Building,"39015 172nd Ave SE, Auburn WA  98092",39015 172nd Ave SE,,Auburn WA 98092,Auburn,98092,
Dropbox,King,Bothell City Hall,"18415 101st Ave NE, Bothell WA  98011",18415 101st Ave NE,,Bothell WA 98011,Bothell,98011,
Dropbox,King,Covington Library,"27100 164th Ave SE, Covington WA  98042",27100 164th Ave SE,,Covington WA 98042,Covington,98042,
Dropbox,King,Highline College (entrance across from 27th Ave S),"2400 S 240th St, Des Moines WA  98198",2400 S 240th St,,Des Moines WA 98198,Des Moines,98198,
Dropbox,King,Kentridge High School,"12430 SE 208th St, Kent WA  98031",12430 SE 208th St,,Kent WA 98031,Kent,98031,
Dropbox,King,Kingsgate Library,"12315 NE 143rd St, Kirkland WA  98034",12315 NE 143rd St,,Kirkland WA 98034,Kirkland,98034,
Dropbox,King,Renton Public Health Center,"3201 NE 7th St, Renton WA  98056",3201 NE 7th St,,Renton WA 98056,Renton,98056,
Dropbox,King,Beacon Hill Library,"2821 Beacon Ave S, Seattle WA  98144",2821 Beacon Ave S,,Seattle WA 98144,Seattle,98144,
